sample,SA,NMV,N,T,CO2ad
RN-450-3,1432,0.74,4.25,273,6.68
RN-450-4,1569,0.69,5.94,273,6.21
RN-500-1,932,0.53,1.39,273,5.45
RN-500-2,1288,0.72,3.85,273,6.65
RN-500-3,1924,0.94,4.09,273,7.13
RN-500-4,2155,0.86,5.74,273,6.41
RK-450-3,704,0.4,1.07,273,4.62
GN,5,0.14,17.14,273,1.01
GN-600-1,821,0.46,12.17,273,5.33
GN-600-2,1267,0.6,11.93,273,6.23
GN-600-3,1398,0.65,11.67,273,6.11
GN-600-4,1412,0.64,11.23,273,5.9
GN-650-1,1734,0.77,9.24,273,6.7
GN-650-2,1960,0.78,8.56,273,6.14
GN-650-3,2167,0.85,7.23,273,6.28
GN-650-4,2016,0.81,6.85,273,6.11
GN-700-1,2394,0.87,6.94,273,6.46
GN-700-2,2659,0.94,6.72,273,5.73
GN-700-3,2655,0.89,6.43,273,5.36
GN-700-4,2470,0.88,6.2,273,5.24
R,536,0.32,1.05,273,3.71
RUK-600-2,1040,0.64,2.33,273,6.09
RUK-600-3,1404,0.78,2.13,273,6.95
RUK-600-4,1621,0.82,1.95,273,6.86
RUK-650-2,1556,0.94,1.88,273,7.13
RUK-650-3,1844,0.82,1.56,273,6.68
RUK-650-4,1955,0.97,1.38,273,7.01
RUK-700-2,1914,0.89,1.62,273,6.28
RUK-700-3,2172,0.95,1.45,273,6.28
RUK-700-4,2015,0.84,1.26,273,5.32
RK-600-3,984,0.53,1.01,273,5.94
C,21,0.17,0.26,273,2
CN-600-2,947,0.48,2.76,273,4.87
CN-600-3,1082,0.49,2.74,273,5.12
CN-600-4,1324,0.59,1.52,273,5.08
CN-700-2,1199,0.56,1.42,273,4.62
CN-700-3,1354,0.63,1.34,273,4.59
CN-800-2,1329,0.62,1.13,273,4.49
CN-800-3,1430,0.66,0.86,273,4.51
C-600-3,329,0.26,0.23,273,3.33
CK-600-3,1383,0.65,1.08,273,6
UC-600-2,1239,0.55,1.98,273,5.69
UC-600-3,1500,0.65,0.86,273,6.3
UC-600-4,1636,0.71,0.28,273,5.58
UC-650-2,1394,0.65,1.64,273,6.27
UC-650-3,1755,0.75,0.81,273,6.75
UC-650-4,1900,0.82,0.58,273,6.72
UC-700-2,1734,0.72,1.26,273,5.93
UC-700-3,2232,0.89,0.64,273,6.36
UC-700-4,2299,1.01,0.29,273,6.1
C-650-2,1088,0.52,0.17,273,4.65
PC-700,1454,0.23,1.71,273,5.73
NPC-500,1114,0.24,3.8,273,5.44
NPC-600,1311,0.28,3.73,273,6.84
NPC-700,1501,0.3,2.43,273,6.98
NPC-800,1734,0.22,2.03,273,5.53
N-AC-500-2,1152,0.46,9.1,273,5.87
N-AC-600-1,1173.8,0.42,7.2,273,5.68
N-AC-600-2,1504.8,0.61,7.7,273,7.1
N-AC-600-3,1684.4,0.58,7.4,273,7.18
N-AC-700-2,1702.2,0.59,5.6,273,6.81
PFK-650-1,605,0.36,14.36,273,4.18
PFK-650-1.5,759,0.43,11.98,273,4.64
PFK-650-2,989,0.44,9.43,273,4.58
PFK-700-1,1294,0.57,12.17,273,5.36
PFK-700-1.5,1757,0.74,7.68,273,6.16
PFK-700-2,2106,0.79,3.91,273,5.38
PFK-750-1,2032,0.81,7.31,273,6.09
