sample,SA,MV,N,T,CO2ad
CN-600-4,1324,0.5,1.52,273,5.08
CN-700-2,1199,0.46,1.42,273,4.62
CN-700-3,1354,0.53,1.34,273,4.59
CN-800-2,1329,0.53,1.13,273,4.49
CN-800-3,1430,0.58,0.86,273,4.51
C-600-3,329,0.12,0.23,273,3.33
CK-600-3,1383,0.52,1.08,273,6
NPC-1-500,1376,0.565,4.6,273,7.5
UC-600-2,1239,0.43,1.98,273,5.69
UC-600-3,1500,0.52,0.86,273,6.3
UC-600-4,1636,0.54,0.28,273,5.58
UC-650-2,1394,0.52,1.64,273,6.27
UC-650-3,1755,0.64,0.81,273,6.75
UC-650-4,1900,0.7,0.58,273,6.72
UC-700-2,1734,0.63,1.26,273,5.93
UC-700-3,2232,0.84,0.64,273,6.36
UC-700-4,2299,0.93,0.29,273,6.1
C-650-2,1088,0.46,0.17,273,4.65
AHEP,418,0.21,2.6,273,2.39
PC-700,1454,0.57,1.71,273,5.73
NPC-500,1114,0.4,3.8,273,5.44
NPC-600,1311,0.43,3.73,273,6.84
NPC-700,1501,0.46,2.43,273,6.98
NPC-800,1734,0.66,2.03,273,5.53
N-CP,38.5,0.01,8.9,273,0.62
N-AC-500-2,1152,0.38,9.1,273,5.87
N-AC-600-1,1173.8,0.4,7.2,273,5.68
N-AC-600-2,1504.8,0.51,7.7,273,7.1
N-AC-600-3,1684.4,0.57,7.4,273,7.18
N-AC-700-2,1702.2,0.58,5.6,273,6.81
SU-MAC-500,941,0.34,5.8,273,6.03
SU-MAC-600,1500,0.5,4,273,6.49
SU-MAC-800,2369,0.63,3.2,273,5.2
BILP-5,626,0.17,12.64,273,2.9
CPC-550,1630,0.59,7.88,273,8.3
CPC-600,2059,0.74,6.34,273,7.5
CPC-650,2967,1.06,5.38,273,6.8
CPC-700,3242,1.13,4.22,273,5.9
CPC-800,2872,0.73,1,273,5.4
PFK-650-1,605,0.23,14.36,273,4.18
PFK-650-1.5,759,0.29,11.98,273,4.64
PFK-650-2,989,0.36,9.43,273,4.58
PFK-700-1,1294,0.49,12.17,273,5.36
PFK-700-1.5,1757,0.67,7.68,273,6.16
PFK-700-2,2106,0.91,3.91,273,5.38
PFK-750-1,2032,0.87,7.31,273,6.09
PFK-750-1.5,2292,1.07,4.01,273,5.36
PFK-750-2,2330,1.01,2.92,273,5.4
LCM-500-1,687,0.24,7.69,273,4.04
LCM-500-2,1392,0.53,5.53,273,5.22
LCM-500-3,1491,0.56,3.97,273,5.14
LCM-550-1,1122,0.41,6.83,273,4.78
LCM-550-2,1487,0.54,4.09,273,5.44
LCM-550-3,2074,0.85,3.01,273,5.89
LCM-600-1,1272,0.51,4.97,273,5.05
LCM-600-2,2182,0.94,3.67,273,5.04
LCM-600-3,2340,1.16,2.54,273,5.36
LCM-650-1,1500,0.58,3.21,273,4.75
LCM-650-2,1860,0.75,2.29,273,4.24
LCM-650-3,2124,1.24,1.26,273,4.05
NPC-500,537,0.27,5.84,273,6.2
NPC-600,958,0.46,3.57,273,6.9
SC-600-2,935,0.34,3.68,273,5.27
SC-600-4,1441,0.5,5.16,273,5.75
SC-650-2,1117,0.39,5.38,273,6.36
SC-650-4,1482,0.52,5.06,273,5.62
SC-700-2,1408,0.57,3.81,273,5.57
SC-700-4,1577,0.48,2.6,273,5.5
NHC-600-1,1037,0.42,8,273,5.15
NHC-600-2,1187,0.47,6.42,273,5.73
NHC-600-3,1970,0.77,4.21,273,6.32
NHC-600-4,2339,1,3.26,273,5.93
NHC-650-1,1593,0.57,5.72,273,6.53
NHC-650-2,1694,0.63,4.64,273,6.28
NHC-650-3,1952,0.77,3.42,273,6.4
NHC-650-4,2492,1.12,2.01,273,6
NHC-700-1,2234,0.88,3.55,273,6.79
NHC-700-2,2241,0.88,2.15,273,6.67
NHC-700-3,2782,1.14,1.96,273,6.54
NHC-700-4,2995,1.39,1.83,273,5.68
NC-650-1,1483,0.57,4.56,273,6.15
HNP-600-2,1479,0.53,3.25,273,5.05
HNP-600-3,1699,0.66,2.68,273,5.89
HNP-600-4,1888,0.77,1.7,273,5.35
HNP-650-2,1394,0.52,2.79,273,5.87
HNP-650-3,2363,0.96,1.61,273,6.24
HNP-650-4,2526,1.1,1.41,273,5.24
HNP-700-2,1703,0.66,2.18,273,5.91
HNP-700-3,2423,1.05,1.34,273,6.24
HNP-700-4,2532,1.21,1.2,273,5.38
NP-650-3,1755,0.64,0.81,273,6.75
